"index_match","call_type","bin_choice"
1,"contact - mix alarm","contact"
2,"other","other"
3,"contact - ladder start","contact"
4,"other","other"
5,"contact - ladder start","contact"
6,"other","other"
7,"contact - typical","contact"
8,"other","other"
9,"contact - typical","contact"
10,"contact - ladder start","contact"
11,"contact - mix alarm","contact"
12,"contact - mix alarm","contact"
13,"other","other"
14,"other","other"
15,"other","other"
16,"contact - mix alarm","contact"
17,"other","other"
18,"other","other"
19,"other","other"
20,"other","other"
21,"other","other"
22,"other","other"
23,"other","other"
24,"other","other"
25,"contact - ladder multiple","contact"
26,"contact - ladder middle","contact"
27,"contact - ladder multiple","contact"
28,"other","other"
29,"contact - mix alarm","contact"
30,"contact - ladder multiple","contact"
31,"other","other"
32,"contact - mix alarm","contact"
33,"other","other"
34,"other","other"
35,"contact - ladder multiple","contact"
36,"other","other"
37,"other","other"
38,"other","other"
39,"contact - mix alarm","contact"
40,"other","other"
41,"other","other"
42,"other","other"
43,"contact - typical","contact"
44,"other","other"
45,"contact - mix alarm","contact"
46,"contact - ladder multiple","contact"
47,"other","other"
48,"contact - mix alarm","contact"
49,"other","other"
50,"contact - mix alarm","contact"
51,"contact - mix alarm","contact"
52,"contact - mix alarm","contact"
53,"contact - mix alarm","contact"
54,"other","other"
55,"other","other"
56,"other","other"
57,"other","other"
58,"contact - mix alarm","contact"
59,"contact - typical","contact"
60,"contact - typical","contact"
61,"other","other"
62,"other","other"
63,"other","other"
64,"other","other"
65,"other","other"
66,"other","other"
67,"other","other"
68,"other","other"
69,"other","other"
70,"other","other"
71,"contact - mix alarm","contact"
72,"contact - mix alarm","contact"
73,"contact - ladder start","contact"
74,"contact - ladder multiple","contact"
75,"other","other"
76,"other","other"
77,"contact - ladder start","contact"
78,"contact - typical","contact"
79,"other","other"
80,"contact - ladder multiple","contact"
81,"contact - typical","contact"
82,"contact - ladder start","contact"
83,"contact - ladder middle","contact"
84,"contact - ladder multiple","contact"
85,"other","other"
86,"contact - typical","contact"
87,"other","other"
88,"other","other"
89,"contact - mix alarm","contact"
90,"other","other"
91,"other","other"
92,"other","other"
93,"other","other"
94,"other","other"
95,"other","other"
96,"contact - mix alarm","contact"
97,"other","other"
98,"other","other"
99,"contact - four triangles","contact"
100,"other","other"
101,"contact - ladder start","contact"
102,"contact - typical","contact"
103,"contact - ladder multiple","contact"
104,"contact - ladder multiple","contact"
105,"other","other"
106,"other","other"
107,"other","other"
108,"other","other"
109,"contact - typical","contact"
110,"other","other"
111,"other","other"
112,"contact - mix alarm","contact"
113,"other","other"
114,"other","other"
115,"other","other"
116,"other","other"
117,"other","other"
118,"contact - typical","contact"
119,"other","other"
120,"contact - mix alarm","contact"
121,"contact - mix alarm","contact"
122,"contact - mix alarm","contact"
123,"other","other"
124,"other","other"
125,"other","other"
126,"other","other"
127,"other","other"
128,"contact - ladder middle","contact"
129,"other","other"
130,"other","other"
131,"other","other"
132,"other","other"
133,"other","other"
134,"contact - typical","contact"
135,"contact - mix alarm","contact"
136,"other","other"
137,"contact - ladder multiple","contact"
138,"contact - mix alarm","contact"
139,"contact - typical","contact"
140,"other","other"
141,"contact - typical","contact"
142,"contact - mix alarm","contact"
143,"other","other"
144,"other","other"
145,"contact - typical","contact"
146,"other","other"
147,"contact - ladder middle","contact"
148,"contact - typical","contact"
149,"contact - mix alarm","contact"
150,"other","other"
151,"other","other"
152,"other","other"
153,"contact - ladder middle","contact"
154,"other","other"
155,"contact - typical","contact"
156,"contact - typical","contact"
157,"contact - typical","contact"
158,"other","other"
159,"other","other"
160,"contact - ladder multiple","contact"
161,"contact - mix alarm","contact"
162,"contact - typical","contact"
163,"contact - typical","contact"
164,"contact - typical","contact"
165,"other","other"
166,"contact - mix alarm","contact"
167,"other","other"
168,"contact - typical","contact"
169,"contact - ladder start","contact"
170,"other","other"
171,"other","other"
172,"other","other"
173,"other","other"
174,"contact - mix alarm","contact"
175,"contact - typical","contact"
176,"contact - ladder start","contact"
177,"other","other"
178,"contact - typical","contact"
179,"other","other"
180,"contact - ladder start","contact"
181,"contact - ladder start","contact"
182,"contact - ladder start","contact"
183,"other","other"
184,"contact - four triangles","contact"
185,"contact - mix alarm","contact"
186,"contact - ladder multiple","contact"
187,"other","other"
188,"other","other"
189,"other","other"
190,"other","other"
191,"contact - mix alarm","contact"
192,"contact - ladder multiple","contact"
193,"contact - mix alarm","contact"
194,"other","other"
195,"other","other"
196,"contact - typical","contact"
197,"other","other"
198,"other","other"
199,"other","other"
200,"contact - four triangles","contact"
201,"contact - mix alarm","contact"
202,"other","other"
203,"contact - typical","contact"
204,"other","other"
205,"other","other"
206,"contact - mix alarm","contact"
207,"contact - mix alarm","contact"
208,"other","other"
209,"other","other"
210,"other","other"
211,"other","other"
212,"other","other"
213,"other","other"
214,"contact - four triangles","contact"
215,"other","other"
216,"other","other"
217,"contact - typical","contact"
218,"other","other"
219,"other","other"
220,"contact - mix alarm","contact"
221,"contact - mix alarm","contact"
222,"contact - typical","contact"
223,"contact - ladder start","contact"
224,"contact - mix alarm","contact"
225,"other","other"
226,"contact - mix alarm","contact"
227,"other","other"
228,"contact - ladder multiple","contact"
229,"other","other"
230,"contact - mix alarm","contact"
231,"other","other"
232,"contact - mix alarm","contact"
233,"other","other"
234,"other","other"
235,"contact - typical","contact"
236,"other","other"
237,"contact - typical","contact"
238,"other","other"
239,"other","other"
240,"other","other"
241,"other","other"
242,"contact - typical","contact"
243,"other","other"
244,"other","other"
245,"other","other"
246,"other","other"
247,"other","other"
248,"other","other"
249,"contact - mix alarm","contact"
250,"other","other"
251,"other","other"
252,"other","other"
253,"contact - mix alarm","contact"
254,"contact - typical","contact"
255,"contact - typical","contact"
256,"other","other"
257,"other","other"
258,"contact - mix alarm","contact"
259,"other","other"
260,"other","other"
261,"other","other"
262,"contact - mix alarm","contact"
263,"other","other"
264,"contact - typical","contact"
265,"contact - mix alarm","contact"
266,"contact - ladder middle","contact"
267,"contact - mix alarm","contact"
268,"other","other"
269,"contact - mix alarm","contact"
270,"contact - mix alarm","contact"
271,"other","other"
272,"other","other"
273,"contact - typical","contact"
274,"contact - mix alarm","contact"
275,"other","other"
276,"other","other"
277,"contact - ladder middle","contact"
278,"other","other"
279,"other","other"
280,"other","other"
281,"contact - mix alarm","contact"
282,"other","other"
283,"contact - ladder start","contact"
284,"other","other"
285,"other","other"
286,"other","other"
287,"other","other"
288,"contact - ladder multiple","contact"
289,"other","other"
290,"contact - mix alarm","contact"
291,"other","other"
292,"contact - ladder start","contact"
293,"other","other"
294,"contact - typical","contact"
295,"other","other"
296,"other","other"
297,"contact - mix alarm","contact"
298,"other","other"
299,"other","other"
300,"other","other"
301,"contact - typical","contact"
302,"contact - mix alarm","contact"
303,"contact - typical","contact"
304,"other","other"
305,"other","other"
306,"other","other"
307,"other","other"
